ID,InfoLink,ImageLink,Name,Gender,Color,Breed,Age,Weight,Located,Treated,FemaleGender,AgeYear,AgeMonth,AgeWeek,AgeDay,ShelterSince,Comment,ScrapedOn
A288102,"https://petharbor.com/detail.asp?ID=A288102&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=23&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_OO",https://petharbor.com/get_image.asp?RES=Detail&ID=A288102&LOCATION=SNCR,amaya,Female/Spayed,black,shorthaired rabbit,3 years old,5.6,S H15,True,True,3,,,,2023-10-14,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-16
A297652,"https://petharbor.com/detail.asp?ID=A297652&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=23&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_OO",https://petharbor.com/get_image.asp?RES=Detail&ID=A297652&LOCATION=SNCR,oscar,Male/Neutered,gray,rex,"2 years, 9 months old",4.6,S H18,True,False,2,2,,,2023-10-14,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-16
A304284,"https://petharbor.com/detail.asp?ID=A304284&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=23&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_OO",https://petharbor.com/get_image.asp?RES=Detail&ID=A304284&LOCATION=SNCR,waylon,Male,black,chicken,8 months old,,S BARN04,False,False,,8,,,2023-08-14,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-16
A304330,"https://petharbor.com/detail.asp?ID=A304330&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=23&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_OO",https://petharbor.com/get_image.asp?RES=Detail&ID=A304330&LOCATION=SNCR,dot,Female/Spayed,white & black,shorthaired rabbit,7 months old,4.6,S H09,True,True,,7,,,2023-08-16,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-16
A304735,"https://petharbor.com/detail.asp?ID=A304735&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=23&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_OO",https://petharbor.com/get_image.asp?RES=Detail&ID=A304735&LOCATION=SNCR,nelson,Male,black & blue,chicken,,,S BARN04,False,False,,,,,2023-08-30,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-16
A304930,"https://petharbor.com/detail.asp?ID=A304930&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=23&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_OO",https://petharbor.com/get_image.asp?RES=Detail&ID=A304930&LOCATION=SNCR,fraggle,Male,red,chicken,,,S BARN,False,False,,,,,2023-09-06,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-16
A305041,"https://petharbor.com/detail.asp?ID=A305041&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=23&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_OO",https://petharbor.com/get_image.asp?RES=Detail&ID=A305041&LOCATION=SNCR,sandy,Female,agouti,shorthaired rabbit,6 months old,2.8,S H05,False,True,,6,,,2023-10-13,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-16
A305043,"https://petharbor.com/detail.asp?ID=A305043&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=23&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_OO",https://petharbor.com/get_image.asp?RES=Detail&ID=A305043&LOCATION=SNCR,oreo,Female,black & white,shorthaired rabbit,6 months old,2.4,S H06,False,True,,6,,,2023-10-13,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-16
A305044,"https://petharbor.com/detail.asp?ID=A305044&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=23&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_OO",https://petharbor.com/get_image.asp?RES=Detail&ID=A305044&LOCATION=SNCR,marble,Female,chocolate & gray,shorthaired rabbit,6 months old,2.6,S H02,False,True,,6,,,2023-10-13,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-16
A305106,"https://petharbor.com/detail.asp?ID=A305106&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=23&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_OO",https://petharbor.com/get_image.asp?RES=Detail&ID=A305106&LOCATION=SNCR,kyli,Male,brown & white,chicken,8 months old,,S BARN,False,False,,8,,,2023-09-13,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-16
A305208,"https://petharbor.com/detail.asp?ID=A305208&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=23&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_OO",https://petharbor.com/get_image.asp?RES=Detail&ID=A305208&LOCATION=SNCR,cinder,Female,black,shorthaired rabbit,5 months old,2.75,S H04,False,True,,5,,,2023-10-11,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-16
